fecha,segmento,vendedor,categoria_producto,sub_categoria_producto,precio,stock_vendido,stock_disponible
29-12-2017,América del Sur-Brasil-Río de Janeiro,Hites,Cocina,Ollas,23668,46,43
16-03-2022,América Central-México-Monterrey,Sodimac,Automotriz,Neumáticos,148634,126,122
22-08-2020,América Central-México-Cancún,Sodimac,Deporte,Pelotas,46598,94,109
24-03-2023,América Central-México-Guadalajara,Sodimac,Moda,Zapatillas,150601,60,8
30-12-2022,América del Sur-Brasil-Río de Janeiro,Mercado Libre,Deporte,Patines,73895,162,263
19-05-2022,América Central-México-Cancún,Hites,Baño,Duchas,58797,165,254
01-05-2021,América Central-México-Ciudad de México,Mercado Libre,Moda,Carteras,41106,25,19
09-02-2017,América del Sur-Chile-Santiago,Aliexpress,Cocina,Batidoras,107122,147,130
20-04-2021,América Central-México-Cancún,Paris,Jardinería,Tijeras podadoras,64276,72,17
24-03-2021,América del Sur-Perú-Trujillo,Falabella,Electrónico,Computadores,196240,30,24
04-05-2022,América del Sur-Perú-Arequipa,Sodimac,Deporte,Pesas,83714,79,140
17-11-2020,América Central-México-Cancún,Ripley,Automotriz,Baterías,63278,46,63
15-04-2022,América del Sur-Colombia-Medellín,Easy,Automotriz,Filtros,197126,267,158
07-01-2022,América del Sur-Perú-Arequipa,Amazon,Cocina,Ollas,175441,47,171
01-12-2018,América del Sur-Perú-Cusco,Ripley,Doméstico,Cafeteras,71171,26,326
07-12-2019,América del Sur-Chile-Valparaíso,Linio,Doméstico,Cafeteras,41280,33,409
26-11-2019,América del Sur-Chile-Valparaíso,Sodimac,Automotriz,Baterías,163729,483,9
31-10-2020,América Central-México-Monterrey,Sodimac,Cocina,Batidoras,154489,82,79
19-03-2023,América Central-México-Monterrey,Hites,Automotriz,Herramientas de reparación,154440,201,19
17-11-2017,América del Sur-Chile-Temuco,Sodimac,Deporte,Patines,146449,83,296
05-03-2018,América del Sur-Brasil-Río de Janeiro,Aliexpress,Jardinería,Fertilizantes,137895,160,53
24-05-2020,América del Sur-Chile-Temuco,Falabella,Jardinería,Fertilizantes,199653,189,0
01-04-2018,América del Sur-Chile-Valparaíso,Ripley,Moda,Pantalones,39467,43,40
29-03-2021,América Central-México-Guadalajara,Linio,Cocina,Ollas,50943,344,59
02-10-2018,América del Sur-Argentina-Córdoba,PC Factory,Doméstico,Ventiladores,107251,244,189
23-01-2023,América del Sur-Chile-Concepción,Amazon,Jardinería,Fertilizantes,132237,134,345
30-10-2019,América del Sur-Brasil-Curitiba,Homecenter,Electrónico,Drones,150980,115,138
09-07-2020,América Central-México-Guadalajara,Falabella,Doméstico,Lavadoras,110258,85,106
13-06-2022,América del Sur-Brasil-Brasilia,Hites,Jardinería,Rastrillos,170905,115,272
04-08-2018,América Central-México-Ciudad de México,Mercado Libre,Jardinería,Rastrillos,72204,5,15
06-10-2019,América del Sur-Brasil-Curitiba,Ripley,Moda,Mochilas,69822,23,32
04-09-2018,América Central-México-Guadalajara,Easy,Jardinería,Rastrillos,13421,33,88
12-11-2020,América del Sur-Perú-Arequipa,Homecenter,Baño,Dispensadores de jabón,119211,0,238
20-05-2021,América Central-México-Ciudad de México,Walmart,Cocina,Cuchillos,72128,30,115
26-08-2018,América Central-México-Cancún,Sodimac,Electrónico,Televisores,183430,167,311
